No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Accessibility,Icon Button Labels,icon button aria-label,Web,Icon-only buttons must have accessible names,Add aria-label to icon buttons,Icon button without label,"<button aria-label='Close'><XIcon /></button>","<button><XIcon /></button>",Critical
2,Accessibility,Form Control Labels,form input label aria,Web,All form controls need labels or aria-label,Use label element or aria-label,Input without accessible name,"<label for='email'>Email</label><input id='email' />","<input placeholder='Email' />",Critical
3,Accessibility,Focus Management,focus trap modal dialog,Web,Modal dialogs must trap focus inside,Use focus trap library or manual focus management,Focus escapes modal to background,"<Dialog onOpenAutoFocus={e => e.preventDefault()}>","<div role='dialog'> without focus trap",Critical
4,Layout,Responsive Breakpoints,responsive mobile tablet desktop,All,Design must work at all common breakpoints,Test at 375px 768px 1024px 1440px,Only test at desktop size,Tailwind: sm: md: lg: xl: breakpoints,Fixed pixel widths only,High
5,Layout,Content Max Width,max-width readable line length,Web,Long lines reduce readability,Cap content width at 65-80ch for text,Full-width text on large screens,max-w-prose or max-w-2xl for content,No max-width on text containers,Medium
6,Interaction,Button Loading State,loading spinner submit button,All,Buttons should show loading state when processing,Disable button and show spinner during async operations,Button stays active during submission,disabled + loading indicator,No feedback during submit,High
7,Interaction,Error Boundaries,error boundary fallback react,Web,Components should handle errors gracefully,Use React ErrorBoundary with friendly fallback,Let errors crash the entire page,"<ErrorBoundary fallback={<ErrorFallback/>}>","No error boundary",High
8,Performance,Font Loading,font-display swap FOUT,Web,Fonts should not block rendering,Use font-display: swap to prevent invisible text,No font-display setting causing FOUT,font-display: swap in @font-face,@font-face without font-display,Medium
9,UX Patterns,Empty States,empty state zero state placeholder,All,Empty lists/pages need helpful empty states,Show icon + message + action in empty state,Blank white space for empty data,"<EmptyState icon={ListIcon} message='No items' action='Create one' />",Empty container with no content,Medium
10,UX Patterns,Confirmation Dialogs,delete confirm destructive action,All,Destructive actions need confirmation,Show modal with description of what will be deleted,Immediately execute destructive action,"<AlertDialog>Are you sure you want to delete...?</AlertDialog>",Delete button with no confirmation,High
