No,Category,Issue,Keywords,Impact,Severity,Pattern,Code Example Good,Code Example Bad,Explanation
1,Async Waterfall,Sequential Dependencies,await fetch async waterfall blocking,Critical blocking,Critical,"Move await operations into branches where they're needed, not at top level","const data = await fetch(); // only if needed","const data = await fetch(); // always runs",Prevents blocking unrelated async operations
2,Async Waterfall,Promise.all Concurrency,promise.all concurrent parallel async,High performance,High,"Use Promise.all() for independent operations","Promise.all([fetch1(), fetch2()])","const a = await fetch1(); const b = await fetch2();",Enables concurrent execution instead of sequential
3,Bundle Size,Barrel Export Bloat,barrel export import * from index,High bloat,High,"Import directly from source files","import Button from '@/components/Button'","import { Button } from '@/components/index'",Reduces tree-shake-able code
4,Bundle Size,Dynamic Import,dynamic import lazy code splitting,Medium savings,Medium,"Use dynamic import() for heavy components","const Modal = dynamic(() => import('./Modal'))","import Modal from './Modal'",Delays loading non-critical code
5,Bundle Size,Unused CSS,purge unused styles tailwind,Medium savings,Medium,"Configure PurgeCSS or Tailwind content paths","content: ['./src/**/*.{js,tsx}']","All Tailwind classes included",Removes unused utility classes
6,Server,Request Deduplication,react.cache dedup server cache,High performance,High,"Use React.cache() for request deduplication","const getUser = cache(() => fetch('/user'))","Multiple identical fetch calls",Prevents duplicate server requests within render
7,Server,Parallel Fetching RSC,rsc restructure parallelize fetch,High performance,High,"Restructure components to fetch in parallel","Fetch A and B simultaneously at top level","Fetch B inside component that renders A",Prevents waterfall fetches in Server Components
8,Server,Serialization,serialize only needed fields,Medium savings,Medium,"Only serialize necessary data across boundaries","{ id, name } // not full objects","{ ...user } // all fields serialized",Reduces payload size across server/client boundary
9,Client,SWR Deduplication,swr dedup cache client request,Medium performance,Medium,"Use SWR for automatic deduplication and caching","useSWR('/api/data', fetcher)","Manual fetch state management",SWR dedupes requests automatically
10,Client,Global Event Listeners,event listener shared global not per instance,Medium performance,Medium,"Share event listeners across instances, not per-component","document.addEventListener once at root","Each component: addEventListener",Reduces event listener overhead
11,Client,useTransition,starttransition non-urgent updates,Medium performance,Medium,"Use startTransition for non-urgent state updates","startTransition(() => setState(...))","setState() directly",Keeps UI responsive during long updates
12,Rerender,useMemo Expensive,usememo expensive computation,Medium performance,Medium,"Memoize expensive computations","const result = useMemo(() => expensiveCalc(), [deps])","result = expensiveCalc() in render",Prevents recalculating on every render
13,Rerender,useCallback Inline,usecallback pass stable functions,Medium performance,Medium,"Use useCallback to pass stable function references","const fn = useCallback(() => {...}, [deps])","const fn = () => {...} in render",Prevents child re-renders from new function refs
14,Rerender,Dependency Array,dependency array stale closures,Critical bugs,High,"Carefully specify dependencies in effect/memo","[userId, itemId] // only what you use","[userId] // missing itemId",Prevents bugs from stale closures
15,Rendering,Virtual Lists,virtualize long lists 50+ items,High performance,High,"Virtualize lists with 50+ items","<VirtualList items={items} />","items.map(item => <Item />)",Renders only visible items
16,Rendering,content-visibility,content-visibility deferred off-screen,Medium performance,Medium,"Use content-visibility: auto for off-screen content","content-visibility: auto","No optimization",Defers rendering and layout of off-screen content
17,Rendering,Image Optimization,image webp responsive sizes,Medium performance,High,"Use WebP + srcset for responsive images","<img srcset='...' sizes='...' />","<img src='large.jpg' />",Serves appropriate image size
18,Rendering,Lazy Loading,lazy load intersection observer,Medium performance,Medium,"Lazy load with Intersection Observer","<img loading='lazy' />","<img /> without loading attribute",Defers image loading until needed
19,JS Performance,Map Lookups,map vs array includes O(n),Medium performance,Medium,"Use Map for O(1) lookups instead of array.includes()","const has = new Map([[key, true]])","array.includes(item) // O(n)",Maps are O(1) arrays are O(n)
20,JS Performance,Set Membership,set vs array.includes membership,Medium performance,Medium,"Use Set instead of array.includes for membership","const has = new Set([items]); has.has(item)","array.includes(item)",Sets are optimized for membership checks
21,JS Performance,Filter-Map Loop,combine filter map into one loop,Low performance,Low,"Combine filter + map into single loop","items.filter(...).map(...) // acceptable","for loop with manual logic",Reduces array iterations
22,JS Performance,String Interpolation,string concatenation concat,Low performance,Low,"Use template literals","const s = `Hello ${name}`","const s = 'Hello ' + name",Modern JS engines optimize both equally
23,Advanced,Web Workers,offload heavy computation workers,High performance,High,"Use Web Workers for heavy computation","const worker = new Worker('./heavy.js')","Heavy computation on main thread",Prevents main thread blocking
24,Advanced,Request Waterfall,avoid request waterfall chains,High performance,High,"Parallel requests instead of sequential","Promise.all([fetch1(), fetch2()])","const a = await fetch1(); const b = await fetch2();",Reduces total request time
25,Advanced,N+1 Queries,batch queries avoid n+1,Critical performance,Critical,"Batch queries in single request","POST /api/users with [ids]","Loop: GET /api/users/{id}",Reduces requests exponentially
26,Advanced,Caching Strategy,cache headers cache-control,Medium performance,Medium,"Set appropriate Cache-Control headers","Cache-Control: max-age=3600","No cache headers",Leverages browser caching
27,Advanced,Code Splitting,route code splitting split by route,Medium performance,Medium,"Split code by route","const Home = lazy(() => import('./Home'))","All code in main bundle",Reduces initial bundle size
28,Advanced,Tree Shaking,export default vs named es6,Medium savings,Medium,"Use named exports for tree-shaking","export const Component = () => {}","export default Component",Enables unused code removal
29,Advanced,CSS-in-JS,styled-components emotion css-in-js,Low impact,Low,"Prefer CSS modules over runtime CSS-in-JS","import styles from './Button.module.css'","const Button = styled.button``",CSS modules have less runtime overhead
30,Async Waterfall,Conditional Fetching,conditional await only when needed,High performance,High,"Only fetch when condition met, not always","if (needData) { const data = await fetch() }","const data = await fetch() // always",Prevents unnecessary async work
