No,Product Type,Keywords,Primary Style Recommendation,Secondary Styles,Landing Page Pattern,Dashboard Style (if applicable),Color Palette Focus,Key Considerations
1,SaaS (General),"app, b2b, cloud, general, saas, software, subscription",Glassmorphism + Flat Design,"Soft UI Evolution, Minimalism",Hero + Features + CTA,Data-Dense + Real-Time Monitoring,Trust blue + accent contrast,Balance modern feel with clarity. Focus on CTAs.
2,Micro SaaS,"app, b2b, cloud, indie, micro, micro-saas, niche, saas, small, software, solo, subscription",Flat Design + Vibrant & Block,"Motion-Driven, Micro-interactions",Minimal & Direct + Demo,Executive Dashboard,Vibrant primary + white space,"Keep simple, show product quickly. Speed is key."
3,E-commerce,"buy, cart, checkout, e-commerce, ecommerce, online, products, shop, store",Vibrant & Block-based,"Claymorphism, Liquid Glass",Hero + Features + CTA + Social Proof,Inventory Management,Brand primary + Success green,Product photos are UI. Performance critical. Clear purchase path.
4,Healthcare,"care, clinic, doctor, health, healthcare, hospital, medical, patient",Neumorphism + Accessible & Ethical,"Minimalism, Soft UI Evolution",Social Proof-Focused (certifications),Clinical Data Dashboard,Calm blue + health green,WCAG AAA mandatory. Trust and credibility above aesthetics. No dark patterns.
5,Fintech,"bank, crypto, finance, fintech, investment, money, payments, trading, wallet",Glassmorphism + Dark Mode,"Minimalism, Motion-Driven",Conversion-Optimized + Trust signals,Real-time Financial Dashboard,Dark tech + vibrant accents,Security and trust first. Real-time data patterns. Regulatory compliance.
6,Education,"course, e-learning, education, kids, learning, school, students, teaching",Claymorphism + Micro-interactions,"Vibrant & Block-based, Neumorphism",Feature-Rich Showcase + Demo,Learning Progress Dashboard,Playful + Clear hierarchy,Engagement drives retention. Gamification if appropriate. Age-appropriate design.
7,Portfolio,"creative, designer, developer, freelance, personal, portfolio, showcase, work",Motion-Driven + Minimalism,"Brutalism, Liquid Glass",Storytelling-Driven,N/A,Brand-driven + artistic,Express personality. Performance matters. Unique but not confusing.
8,Marketplace,"buy, marketplace, peer, platform, sell, two-sided, vendor",Vibrant & Block-based,"Flat Design, Glassmorphism",Hero + Social Proof + CTA,Seller/Buyer Split Dashboard,Category-based colors + trust signals,Trust between buyers and sellers. Search and filter UX critical. Review system prominent.
9,Developer Tools,"api, cli, code, developer, devtools, sdk, technical",Minimalism + Dark Mode,"Brutalism, Flat Design",Minimal & Direct + Demo/Docs,Code-Centric Dashboard,Dark monochrome + syntax accent,Docs quality = product quality. Code examples above fold. Performance non-negotiable.
10,AI/LLM App,"ai, assistant, chat, gpt, llm, model, prompt",Glassmorphism + Motion-Driven,"Soft UI Evolution, Dark Mode",Demo-Centered + Storytelling,Conversation / Model Dashboard,AI gradient (use sparingly) + neutral base,Show capability immediately. Latency perception matters. Output quality over feature quantity.
